p,N_efolds,n_s_pred,n_s_frac_err,n_s_sigma,n_s_signed,r_tensor_pred,r_violation
104479,62.7983749702843,0.968152042135702,0.003370341108614438,0.7742957465957313,0.0032520421357020712,0.0030428772603783008,0.0
104491,62.80077912694257,0.9681532613479636,0.003371604671949078,0.7745860352294441,0.003253261347963665,0.003042644288313319,0.0
104513,62.80518626946583,0.9681554960856418,0.003373920702292254,0.775118115628999,0.003255496085641796,0.003042217288654723,0.0
104527,62.80799049270382,0.968156917864896,0.0033753942013638864,0.775456634499051,0.003256917864896014,0.0030419456395889416,0.0
104537,62.80999335600459,0.9681579332660636,0.003376446539603696,0.7756983966818111,0.0032579332660636062,0.003041751641665377,0.0
104543,62.81119501267572,0.9681585424446011,0.0033770778781232347,0.7758434391907403,0.003258542444601109,0.0030416352577568185,0.0
104549,62.81239662337021,0.9681591515765238,0.003377709168332251,0.7759884706009021,0.003259151576523789,0.003041518884980363,0.0
104551,62.812797150052106,0.9681593546101402,0.003377919587667389,0.7760368119381581,0.0032593546101402637,0.003041480096528384,0.0
104561,62.81479970684691,0.9681603697005501,0.003378971603845065,0.776278500130977,0.003260369700550103,0.0030412861728169455,0.0
104579,62.81840398734714,0.9681621965371352,0.0033808648949478913,0.7767134612226715,0.00326219653713522,0.0030409371880200154,0.0
104593,62.82120703070633,0.9681636171202119,0.003382337154328892,0.7770516952885591,0.003263617120211948,0.003040665824605386,0.0
104597,62.822007854295094,0.9681640229545249,0.003382757751606261,0.7771483225059241,0.003264022954524881,0.0030405883033200673,0.0
104623,62.82721271002848,0.9681666603732564,0.003385491111261688,0.7777762793467625,0.0032666603732564026,0.0030400845353748167,0.0
104639,62.830415269580875,0.968168282965841,0.0033871727286154314,0.7781626109145309,0.0032682829658410295,0.003039774628028301,0.0
104651,62.832816975010985,0.9681694996932031,0.003388433716657804,0.7784523079055037,0.003269499693203115,0.003039542249342991,0.0
104659,62.834418009967614,0.9681703107414358,0.0033892742682514253,0.7786454146275715,0.0032703107414358,0.0030393873548902745,0.0
104677,62.838020040339615,0.9681721352977691,0.003391165196154163,0.7790798328021791,0.003272135297769152,0.0030390389145105376,0.0
104681,62.83882043545541,0.9681725406979227,0.0033915853434788165,0.7791763566482643,0.00327254069792271,0.0030389614968761593,0.0
104683,62.839220625367275,0.9681727433902542,0.0033917954091140894,0.7792246167271869,0.0032727433902541847,0.003038922789907838,0.0
104693,62.841221498472905,0.9681737567744668,0.0033928456570285425,0.7794658986825811,0.0032737567744668405,0.0030387292735523795,0.0
104701,62.842822105222645,0.9681745673889176,0.0033936857590606555,0.7796589021232444,0.0032745673889176263,0.0030385744826476333,0.0
104707,62.84402250677982,0.9681751752955624,0.0033943157794200716,0.7798036418005779,0.003275175295562427,0.003038458402404548,0.0
104711,62.8448227490084,0.968175580540856,0.0033947357662513955,0.7799001287752313,0.0032755805408559713,0.0030383810217346346,0.0
104717,62.84602307414023,0.9681761883700967,0.0033953657063910134,0.7800448500230212,0.0032761883700966887,0.003038264959966721,0.0
104723,62.84722335342268,0.9681767961529031,0.003395995598407198,0.7801895602150252,0.0032767961529031053,0.003038148909281653,0.0
104729,62.84842358686013,0.9681774038892815,0.0033966254423065077,0.7803342593527499,0.0032774038892815494,0.0030380328696777365,0.0
104743,62.85122395328602,0.968178821760313,0.0033980948909866538,0.7806718476935768,0.003278821760313022,0.0030377621536857896,0.0
104759,62.85442406652565,0.9681804418749715,0.0033997739402752227,0.7810575892789435,0.0032804418749715625,0.003037452837816192,0.0
104761,62.85482405776955,0.9681806443661061,0.0033999837973946413,0.7811058014538308,0.003280644366106089,0.0030374141788686486,0.0
104773,62.85722389833152,0.968181859204681,0.0034012428279418055,0.7813950487335829,0.003281859204681048,0.003037182251012222,0.0
104779,62.85842374989751,0.968182466554401,0.0034018722711172235,0.7815396558097641,0.003282466554401009,0.003037066303685437,0.0
104789,62.86042340072263,0.9681834787008926,0.0034029212362862763,0.7817806430696734,0.003283478700892628,0.0030368730827296624,0.0
104801,62.86282281379266,0.9681846931066993,0.003404179818322439,0.7820697873093623,0.0032846931066993212,0.0030366412581447266,0.0
104803,62.863222698163554,0.9681848954896417,0.0034043895633140493,0.7821179737242205,0.003284895489641726,0.0030366026250150586,0.0
104827,62.868020913842614,0.9681873236833572,0.003406906087011367,0.782696115085064,0.0032873236833572683,0.0030361391232824413,0.0
104831,62.86882054525169,0.9681877283102449,0.0034073254329411657,0.7827924548202216,0.0032877283102449306,0.0030360618901883693,0.0
104849,62.87241863489652,0.9681895488765255,0.0034092122256457144,0.7832259229822738,0.00328954887652555,0.003035714402036871,0.0
104851,62.872818397214225,0.9681897511359437,0.003409421842619716,0.7832740799866105,0.0032897511359437637,0.0030356757983795797,0.0
104869,62.87641602933423,0.9681915712392557,0.0034113081555142703,0.7837074379180285,0.0032915712392557195,0.003035328420682039,0.0
104879,62.8784145359652,0.9681925822277844,0.003412355920597358,0.783948149472474,0.003292582227784391,0.0030351354760087728,0.0
104891,62.88081257624234,0.9681937952443757,0.003413613062882863,0.7842369629465893,0.0032937952443756746,0.0030349039828700955,0.0
104911,62.88480890363098,0.9681958165275665,0.003415707873941857,0.7847182208491661,0.0032958165275664975,0.003034518259044638,0.0
104917,62.8860077028059,0.9681964228123395,0.0034163362134309776,0.7848625743665596,0.00329642281233955,0.0030344025657944376,0.0
104933,62.88920427717671,0.9681980393457479,0.0034180115511948444,0.7852474632733107,0.003298039345747905,0.0030340941043638064,0.0
104947,62.89200101321061,0.9681994535429093,0.0034194771923611576,0.7855841768831622,0.003299453542909281,0.0030338242649087534,0.0
104953,62.89319953822807,0.9682000595504073,0.0034201052444889136,0.785728464382703,0.0033000595504073527,0.003033708637792915,0.0
104959,62.89439801756785,0.9682006655117145,0.00342073324874545,0.7858727408844012,0.0033006655117144845,0.0030335930216935894,0.0
104971,62.8967948392318,0.9682018772957807,0.0034219891136705216,0.7861612609001635,0.0033018772957806863,0.0030333618225377606,0.0
104987,62.89999031732103,0.9682034927205823,0.0034236633025000306,0.7865458858529237,0.0033034927205822795,0.0030330536255101857,0.0
104999,62.90238671283599,0.9682047040737823,0.0034249187208854398,0.7868343032815145,0.0033047040737823608,0.003032822529107254,0.0
105019,62.90638029965079,0.9682067225856404,0.0034270106597994246,0.7873149013429679,0.0033067225856404647,0.003032437466239275,0.0
