z,best_p,best_score_core,mean_score_core,min_score_core,max_score_core,n_points,n_viable_1pct,delta_cp_pred,delta_cp_sigma
2,109721,0.1774252801249931,0.30949923486758646,0.1774252801249931,0.4292127489233932,358,0,0.9934460576052707,4.501198719882872
3,109721,0.13173395354154577,0.27282509347270545,0.13173395354154577,0.40065685741908247,358,0,1.0707963267948966,2.7823038490022975
4,109721,0.0860711567086364,0.2362639881414874,0.0860711567086364,0.37228681765971205,358,0,1.1235827312949387,1.6092726378902504
5,109721,0.040533424872095596,0.1998536334561719,0.040533424872095596,0.3441485950242397,358,0,1.1625480363310334,0.7433769704214783
6,107323,0.003069384300158979,0.16377764689448435,0.003069384300158979,0.3163040625076166,358,96,1.1928318537856692,0.07040324920734894
7,99761,0.023216632008694706,0.1567443298460876,0.023216632008694706,0.28883816941011786,358,0,1.2172429362016228,0.4720652489249528
8,99761,0.06721438563011259,0.160468105582379,0.06721438563011259,0.26187008211182755,358,0,1.2374629934615633,0.9213998547014077
9,62131,0.05916612658482265,0.1648725815656228,0.05916612658482265,0.23557082873315258,358,0,1.2545685607780586,1.3015235728457468
10,62131,0.051937631328723095,0.17045161712666235,0.051937631328723095,0.2101916136350234,358,0,1.2692849822171328,1.6285551603807304
11,56519,0.06293098985201741,0.17798855432358607,0.06293098985201741,0.23417440273807155,358,0,1.2821211922000837,1.9138042711129721
12,50753,0.07391499778984537,0.18812177751905135,0.07391499778984537,0.279883012176499,358,0,1.2934462286822819,2.165471748495154
