name,target_screening_net_mw,screening_net_power_mw,gross_fusion_mw,useful_power_mw,bremsstrahlung_loss_mw,transport_loss_mw,neutron_power_mw,neutron_wall_load_mw_m2,temperature_kev,ion_density_m3,confinement_s,beta,required_field_t,plasma_volume_m3,separatrix_radius_m,length_m,direct_conversion_efficiency,thermal_conversion_efficiency,transport_loss_multiplier,dd_side_reaction_fraction,triple_product_kev_s_m3,gain_proxy,magnetic_energy_mj,magnet_mass_proxy_tonnes,objective_score,warnings
lunarfire_frc_10mw_v0_1_t200_n3.5e+20_tau20,10.0,10.0,389.0334688326623,335.5948144065165,323.6596753186329,1.9351390878836285,0.7743781583347645,0.03338984519325302,200.0,3.5e+20,20.0,0.85,9.105099336741922,6.134952725013025,0.7261567698200839,4.356940618920504,0.78,0.38,0.15,0.03,1.4e+24,1.0307130198563748,202.36748631462785,66.77911416270268,25.68073944398896,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n3.5e+20_tau16,10.0,10.0,408.81112870041204,352.65576320515993,340.11386624098674,2.541896964173139,0.8137459481306268,0.03394634235815917,200.0,3.5e+20,16.0,0.85,9.105099336741922,6.44684107915415,0.7382593771051255,4.4295562626307525,0.78,0.38,0.15,0.03,1.12e+24,1.029183807989865,212.65543229683783,69.4796999830328,26.030763599631506,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau20,10.0,10.0,367.68766561663546,317.18112652990385,305.9008543127043,1.2802722171995007,0.7318889508323806,0.05272068576951293,200.0,5e+20,20.0,0.85,10.882675218105557,2.8411842351753545,0.5618147225050399,3.37088833503024,0.78,0.38,0.15,0.03,2e+24,1.0325540833610638,133.8846763084445,51.46874035812501,26.175635790357976,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau16,10.0,10.0,379.8453002347452,327.6687566701316,316.01550096495043,1.6532557051811294,0.756088942502836,0.05329546831129637,200.0,5e+20,16.0,0.85,10.882675218105557,2.9351283161008497,0.5679398570608492,3.407639142365095,0.78,0.38,0.15,0.03,1.6e+24,1.031479331190206,138.3115884073102,52.63080478407727,26.292696166378665,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau12,10.0,10.0,401.9988640856076,346.7792490688485,334.4463452432994,2.332903825549105,0.8001860121633425,0.05431206377208469,200.0,5e+20,12.0,0.85,10.882675218105557,3.1063126180285807,0.57877314362316,3.47263886173896,0.78,0.38,0.15,0.03,1.1999999999999999e+24,1.0296930408499,146.37827925013994,54.748311130320076,26.50538744098459,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n3.5e+20_tau12,10.0,10.0,446.65626918983094,385.3023962489562,371.5994500390792,3.7029462098769512,0.889077384991455,0.03496309699343562,200.0,3.5e+20,12.0,0.85,9.105099336741922,7.043648722647491,0.7603715868916248,4.562229521349749,0.78,0.38,0.15,0.03,8.4e+23,1.026645180259831,232.34172297267145,74.64735128543913,26.699582848854437,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau8,10.0,10.0,455.0819898370768,392.5707378786319,378.60929939007696,3.961438488555018,0.9058489343829134,0.05660453752302035,200.0,5e+20,8.0,0.85,10.882675218105557,3.516494830113319,0.6032027481594652,3.6192164889567913,0.78,0.38,0.15,0.03,8e+23,1.0261389568252144,165.70723089380468,59.82216093678206,27.01215762615266,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau6,10.0,9.999999999999998,524.316970778571,452.2954208197123,436.2099256792626,6.085495140449773,1.0436624165871353,0.05934070048310172,200.0,5e+20,6.0,0.85,10.882675218105557,4.051485135115108,0.6323604992719444,3.794162995631666,0.78,0.38,0.15,0.03,5.9999999999999995e+23,1.0226093229305129,190.9174946023458,66.4398551602741,27.668048132590997,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n3.5e+20_tau8,10.0,10.0,548.1435785166651,472.8491434230546,456.03267292925074,6.816470493803889,1.091089710374875,0.037432617275693233,200.0,3.5e+20,8.0,0.85,9.105099336741922,8.644076178869033,0.8140783010375092,4.884469806225056,0.78,0.38,0.15,0.03,5.6e+23,1.0216053116703292,285.1334062767641,88.50516815276345,28.48797887939438,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n2.5e+20_tau20,10.0,10.0,421.67333060774416,363.7511794296363,350.8146835914868,2.936495838149485,0.839348393737727,0.021899796579539575,200.0,2.5e+20,20.0,0.85,7.69521344417323,13.033362077103128,0.9334953033077374,5.600971819846425,0.78,0.38,0.15,0.03,1e+24,1.028268456987545,307.0845320940638,92.15250984095158,29.783309995449894,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau4,10.0,10.0,753.6264869945524,650.1063823471679,626.9859115825765,13.120470764591419,1.5001071574182843,0.06696893846123204,200.0,5e+20,4.0,0.85,10.882675218105557,5.823398210730275,0.71365034481041,4.28190206886246,0.78,0.38,0.15,0.03,4e+23,1.0156224032063728,274.41507481498394,88.35796996609162,29.811707115826948,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime
lunarfire_frc_10mw_v0_1_t200_n2.5e+20_tau16,10.0,10.0,455.0819898370768,392.5707378786319,378.60929939007696,3.961438488555018,0.9058489343829134,0.02246352560255399,200.0,2.5e+20,16.0,0.85,7.69521344417323,14.065979320453277,0.9575246769784438,5.745148061870663,0.78,0.38,0.15,0.03,8e+23,1.0261389568252144,331.41446178760935,98.5391163855073,30.891067884705887,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions
